"","record_id","treatment_arm","taco_choice","meat_select","chicken_select","age","gender","county_name","state","location","dob","times_visited_chipotle_past_month","ffq_cow_freq","ffq_pig_freq","ffq_attn_freq","ffq_hen_freq","ffq_pb_freq","ffq_fish_freq","ffq_dairy_freq","ffq_eggs_freq","opted_out_all","merged_protein","other_meat_select","block_order","block_order_pre_tacos","bev_type","purpose_guess","education","ethnicity","attention_check","tortilla_type","no_toppings","has_dairy","regular_toppings","premium_toppings","political_party","time_elapsed"
"18",19,"2","Chicken",1,1,40,"Female","Knox","TN43","Knox, TN",1985,0,1,1,7,4,4,1,2,4,NA,1,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Pen-Shirt","Organic watermelon limeade","Learning how color preference relates to food preference","Some college or 2-year degree","Caucasian",5,"No tortillas",FALSE,TRUE,"Brown rice + Black beans + Roasted chili corn salsa + Fajita veggies + Cheese","Guacamole","Independent",124
"19",20,"3","Carnitas",1,0,40,"Male","Marion","FL10","Marion, FL",1985,2,3,3,7,5,2,4,6,6,NA,4,1,"q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material","Pen","Tractor organic black tea","Learning how t-shirt size is related to beverage preference","High school or GED","Caucasian",2,"Soft flour tortillas",FALSE,TRUE,"Black beans + Fresh tomato salsa + Tomatillo green chili salsa + Sour cream + Fajita veggies","Guacamole + Queso blanco","Democrat",164
"20",21,"3","Steak",1,0,36,"Female","Yuba","CA05","Yuba, CA",1989,3,2,2,3,1,1,2,1,2,NA,2,1,"q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material","None","San Pellegrino sparkling","Learning how many color options to provide across different products","4-year college graduate","Other",2,"Crispy corn tortillas",FALSE,TRUE,"Fresh tomato salsa + Fajita veggies","Queso blanco","Independent",326
"21",22,"3","Steak",1,0,47,"Male","New London","CT07","New London, CT",1978,0,3,3,7,2,1,2,4,2,NA,2,1,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper","Shirt","Organic watermelon limeade","Learning whether people's shirt preferences are related to their food preferences","High school or GED","Caucasian",2,"Crispy corn tortillas",FALSE,TRUE,"Brown rice + Roasted chili corn salsa + Sour cream + Cheese + Romaine lettuce","Queso blanco","Independent",176
"22",23,"1","Steak",1,0,41,"Female","Kane","IL14","Kane, IL",1984,3,2,3,3,4,2,2,4,4,NA,2,1,"q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1","Pen","Mexican Coca-Cola","Learning how fine-point pen options affect the type of paper people choose","4-year college graduate","South Asian",2,"Crispy corn tortillas",FALSE,TRUE,"White rice + Fresh tomato salsa + Roasted chili corn salsa + Cheese + Romaine lettuce","Queso blanco","Democrat",236
"23",24,"1","Carnitas",1,0,58,"Female","Alameda","CA05","Alameda, CA",1967,7,4,5,6,3,5,4,5,6,NA,4,1,"q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1","Pen","Organic berry agua fresca","Learning whether people's shirt preferences are related to their food preferences","High school or GED","Black/African American",3,"Soft flour tortillas",FALSE,TRUE,"Pinto beans + Roasted chili corn salsa + Tomatillo red chili salsa","Queso blanco","Republican",115
"24",25,"1","Carnitas",1,0,59,"Male","San Bernardino","CA05","San Bernardino, CA",1966,0,1,4,7,4,1,2,6,1,NA,4,1,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","Shirt","Mexican Coca-Cola","Learning how solid color options affect the shirts people choose","High school or GED","Hispanic",4,"Crispy corn tortillas",FALSE,FALSE,"Tomatillo green chili salsa + Romaine lettuce","No premium toppings","Democrat",341
"25",26,"1","Chicken",1,1,23,"Female","Richmond","NY33","Richmond, NY",2002,5,2,1,7,2,2,2,2,2,NA,1,0,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","Mexican Coca-Cola","Learning how many color options to provide across different products","4-year college graduate","Black/African American",1,"Crispy corn tortillas",FALSE,TRUE,"Fajita veggies","Guacamole","Democrat",379
"26",27,"3","Chicken",1,1,26,"Female","Richmond","NY33","Richmond, NY",1999,2,3,3,7,2,1,2,7,4,NA,1,0,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev","Shirt-Pen","Organic lemonade","Learning how many color options to provide across different products","4-year college graduate","Native American",1,"Crispy corn tortillas",FALSE,TRUE,"Fresh tomato salsa + Tomatillo green chili salsa + Sour cream + Cheese + Romaine lettuce","Queso blanco","Democrat",515
"27",28,"1","Beef barbacoa",1,0,30,"Female","Richmond city","VA47","Richmond city, VA",1995,1,2,2,7,4,5,4,6,5,NA,3,1,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1","Shirt-Pen","Organic lemonade","Learning how t-shirt size is related to beverage preference","4-year college graduate","Caucasian",3,"Crispy corn tortillas",FALSE,TRUE,"Brown rice + Black beans + Tomatillo green chili salsa + Fajita veggies + Cheese","Guacamole","Democrat",126
"28",29,"1","Steak",1,0,25,"Female","Chemung","NY33","Chemung, NY",2000,5,5,5,7,5,4,4,5,5,NA,2,1,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","Shirt","Mexican Coca-Cola","Learning how color preference relates to food preference","4-year college graduate","Black/African American",2,"Crispy corn tortillas",FALSE,FALSE,"Cheese","Guacamole","Republican",312
"29",30,"1","Chicken",1,1,43,"Female","St. Tammany","LA19","St. Tammany, LA",1982,0,3,3,7,2,1,1,1,5,NA,1,0,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","Fountain drink","Learning how many color options to provide across different products","Some college or 2-year degree","Caucasian",1,"Crispy corn tortillas",FALSE,TRUE,"Fresh tomato salsa + Fajita veggies + Cheese","Queso blanco","Democrat",172
"30",31,"1","Veggies (includes guacamole)",0,0,70,"Female","Allegheny","PA39","Allegheny, PA",1955,0,1,2,7,2,1,3,4,2,NA,7,0,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1","None","Fountain drink","Learning how t-shirt size is related to beverage preference","Some college or 2-year degree","Caucasian",7,"Soft flour tortillas",FALSE,TRUE,"White rice + Fresh tomato salsa + Sour cream + Cheese + Romaine lettuce","No premium toppings","Democrat",265
"31",32,"2","Chicken",1,1,24,"Male","Amherst","VA47","Amherst, VA",2001,6,7,6,7,5,6,5,5,6,NA,1,0,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","Shirt","Fountain drink","Learning how solid color options affect the shirts people choose","More than 4-year college degree","Black/African American",1,"Soft flour tortillas",FALSE,TRUE,"Brown rice","Queso blanco","Republican",240
"32",33,"1","Chicken",1,1,27,"Male","San Diego","CA05","San Diego, CA",1998,2,3,4,3,2,3,1,4,4,NA,1,0,"q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1","Pen-Shirt","Organic lemonade","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Black/African American",1,"Crispy corn tortillas",FALSE,FALSE,"Cheese","Guacamole","Republican",345
"33",34,"3","Beef barbacoa",1,0,28,"Female","Los Angeles","CA05","Los Angeles, CA",1997,3,5,4,7,4,2,3,3,4,NA,3,1,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev","Shirt-Pen","Organic lemonade","Learning how color preference relates to food preference","4-year college graduate","East Asian",3,"Soft flour tortillas",FALSE,FALSE,"White rice + Black beans + Roasted chili corn salsa + Cheese","Guacamole","Democrat",121
"34",35,"1","Chicken",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1","Pen","Organic watermelon limeade",NA,NA,NA,NA,"Crispy corn tortillas",FALSE,FALSE,"Brown rice","Guacamole",NA,NA
"35",36,"2","Chicken",1,1,23,"Male","Douglas","NE28","Douglas, NE",2002,3,2,1,7,2,1,5,5,3,NA,1,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2","Pen","Organic lemonade","Learning how color preference relates to food preference","Some college or 2-year degree","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"Roasted chili corn salsa + Sour cream + Fajita veggies + Cheese + Romaine lettuce","Queso blanco","Republican",126
"36",37,"3","Chicken",1,1,28,"Female","DuPage","IL14","DuPage, IL",1997,2,4,2,7,3,1,1,3,4,NA,1,0,"q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material","None","Organic lemonade","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Black/African American",1,"Soft flour tortillas",FALSE,FALSE,"Tomatillo red chili salsa","Guacamole","Independent",335
"37",38,"3","Chicken",1,1,22,"Female","Kings","NY33","Kings, NY",2003,55,5,3,7,4,5,4,5,4,NA,1,0,"q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev","Pen-Shirt","Mexican Coca-Cola","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Black/African American",NA,"Soft flour tortillas",FALSE,TRUE,"Brown rice + Black beans + Pinto beans + Fresh tomato salsa + Roasted chili corn salsa","Queso blanco","Republican",NA
"38",39,"3","Steak",1,0,35,"Female","Richmond","NY33","Richmond, NY",1990,1,2,4,7,4,1,2,5,3,NA,2,1,"q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper","None","No beverage","Learning how fine-point pen options affect the type of paper people choose","More than 4-year college degree","Hispanic",2,"Soft flour tortillas",FALSE,TRUE,"Tomatillo red chili salsa + Sour cream + Fajita veggies + Cheese + Romaine lettuce","No premium toppings","Democrat",172
"39",40,"3","Steak",1,0,22,"Female","Androscoggin","ME20","Androscoggin, ME",2003,0,3,4,7,2,1,2,4,4,NA,2,1,"q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper","None","Mexican Coca-Cola","Learning whether people's shirt preferences are related to their food preferences","Some college or 2-year degree","Multi-ethnic",2,"Soft flour tortillas",FALSE,FALSE,"Fresh tomato salsa + Cheese + Romaine lettuce","Guacamole","Democrat",147
"40",41,"2","Steak",1,0,22,"Female","Los Angeles","CA05","Los Angeles, CA",2003,5,6,4,7,6,4,6,4,6,NA,2,1,"q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","None","Organic lemonade","Learning how t-shirt size is related to beverage preference","4-year college graduate","Black/African American",2,"Soft flour tortillas",FALSE,TRUE,"Black beans + Pinto beans + Fresh tomato salsa + Sour cream + Cheese","Queso blanco","Republican",209
"41",42,"3","Steak",1,0,43,"Female","Orange","CA05","Orange, CA",1982,1,4,4,7,3,4,3,4,3,NA,2,1,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper","Shirt","Tractor organic black tea","Learning whether older people are more likely to select high calorie toppings","More than 4-year college degree","Southeast Asian",2,"Soft flour tortillas",FALSE,TRUE,"Black beans + Fresh tomato salsa + Fajita veggies + Romaine lettuce","Guacamole","Democrat",125
"42",43,"3","Chicken",1,1,30,"Female","Van Buren","MI23","Van Buren, MI",1995,0,2,3,7,2,1,1,6,1,NA,1,0,"q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material","Pen","Mexican Coca-Cola","Learning how color preference relates to food preference","4-year college graduate","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"White rice + Fresh tomato salsa + Sour cream + Cheese + Romaine lettuce","Queso blanco","Independent",106
"43",44,"3","Chicken",1,1,33,NA,"Chatham","GA11","Chatham, GA",1992,0,3,1,7,3,1,1,4,1,NA,1,0,"q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev","Pen-Shirt","Apple juice","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Caucasian",1,"Soft flour tortillas",FALSE,FALSE,"Roasted chili corn salsa + Cheese + Romaine lettuce","No premium toppings","Democrat",106
"44",45,"3","Chicken",1,1,37,"Female","Passaic","NJ31","Passaic, NJ",1988,0,4,3,7,3,1,1,3,2,NA,1,0,"q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material","Pen","Organic watermelon limeade","Learning how many color options to provide across different products","4-year college graduate","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"White rice + Fresh tomato salsa + Sour cream + Cheese","Guacamole","Independent",129
"45",46,"3","Veggies (includes guacamole)",0,0,50,"Female","Worcester","MA22","Worcester, MA",1975,0,3,1,7,3,1,2,4,5,NA,7,0,"q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev","Pen-Shirt","Mexican Coca-Cola","Learning how color preference relates to food preference","4-year college graduate","Caucasian",7,"Soft flour tortillas",FALSE,TRUE,"Brown rice + Pinto beans + Sour cream + Fajita veggies + Cheese","Guacamole","Democrat",124
"46",47,"2","Beef barbacoa",1,0,39,"Female","Los Angeles","CA05","Los Angeles, CA",1986,7,2,1,3,3,1,3,5,7,NA,3,1,"q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2","None","Bottled water","Learning how color preference relates to food preference","4-year college graduate","Caucasian",3,"Soft flour tortillas",FALSE,FALSE,"Fresh tomato salsa + Roasted chili corn salsa","Guacamole","Independent",403
"47",48,"3","Veggies (includes guacamole)",0,0,53,"Male","Marshall","AL01","Marshall, AL",1972,15,5,6,7,6,5,6,7,7,NA,7,0,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper","Shirt","Organic berry agua fresca","Learning how many color options to provide across different products","More than 4-year college degree","Black/African American",7,"Soft flour tortillas",FALSE,TRUE,"Cheese","Queso blanco","Republican",537
"48",49,"1","Veggies (includes guacamole)",0,0,35,"Female","Wake","NC34","Wake, NC",1990,0,1,3,7,2,1,1,6,1,NA,7,0,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1","Shirt-Pen","Fountain drink","Learning how color preference relates to food preference","4-year college graduate","Caucasian",7,"Soft flour tortillas",FALSE,TRUE,"White rice + Black beans + Fresh tomato salsa + Cheese + Romaine lettuce","Queso blanco","Independent",143
"49",50,"3","Chicken",1,1,48,"Female","Okaloosa","FL10","Okaloosa, FL",1977,0,1,1,7,4,1,3,7,4,NA,1,0,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev","Shirt-Pen","Bottled water","Learning how color preference relates to food preference","4-year college graduate","Caucasian",1,"Crispy corn tortillas",FALSE,TRUE,"Brown rice + Black beans + Roasted chili corn salsa + Sour cream + Cheese","Guacamole","Democrat",243
