variable name,field label,explanation,
eth___6,Ethnicity (choice=Native American),,
eth___7,Ethnicity (choice=Pacific Islander),,
eth___8,Ethnicity (choice=South Asian),,
eth___9,Ethnicity (choice=Southeast Asian),,
eth___99,Ethnicity (choice=Other),,
polit,What is your political party affiliation?,,
chip,Please think back over the past 3 months. What is your best estimate of how many times you ordered from the restaurant Chipotle?,,
ffq_clothes_freq,Shopped online for clothing, ,
ffq_pen_freq,Shopped online for pens, ,
ffq_cow_freq,"Ate beef (including hamburgers, steak, etc.)",,
ffq_pig_freq,"Ate pork (including bacon, ham, pepperoni, carnitas, etc.)",,
ffq_attn_freq,Please select 2 or more times per day for this question,first (INFERIOR) ATTENTION CHECK,
ffq_hen_freq,Ate chicken,,
ffq_pb_freq,"Ate plant-based meats or tofu (including tempeh, seitan, etc.)",,
ffq_fish_freq,"Ate fish, shrimp, or other seafood",,
ffq_dairy_freq,"Ate cheese, ice cream, yogurt, or butter, or drank milk (please include all traditional dairy items, but exclude plant-based versions)",,
ffq_eggs_freq,Ate eggs,,
time_end3,,,
stanford_survey_3_complete,Complete?,,
stanford_survey_4_timestamp,Survey Timestamp,,
protein_1_attn,"This is the last question of the survey, and it's one of the questions we use to check whether participants are paying attention.  Please select the same taco filling that you chose earlier in the survey. Thank you for your time and attention today!                      ",second (SUPERIOR) ATTENTION CHECK for Arm 1,
protein_2_attn,"This is the last question of the survey, and it's one of the questions we use to check whether participants are paying attention.  Please select the same taco filling that you chose earlier in the survey. Thank you for your time and attention today!                      ",SUPERIOR ATTENTION CHECK for Arm 2,
protein_3_attn,"This is the last question of the survey, and it's one of the questions we use to check whether participants are paying attention.  Please select the same taco filling that you chose earlier in the survey. Thank you for your time and attention today!                        ",SUPERIOR ATTENTION CHECK for Arm 3,
opted_out_all,Please tell us about what you would choose to eat right now instead of these tacos.,,
stanford_survey_4_complete,Complete?,,
,,,
,,,
Questions? Ask Jessica Hope at jehope@stanford.edu,,,
