record_id,redcap_event_name,redcap_survey_identifier,arm_1_timestamp,block_order_1,shirt_style_1,q_shirt_color_1,shirt_size_1,shirt_material_1,pen_color_1,pen_tip_1,pen_paper_1,protein_1,tortilla_1,topp_1___1,topp_1___2,topp_1___3,topp_1___4,topp_1___5,topp_1___6,topp_1___7,topp_1___8,topp_1___9,topp_1___10,topp_1___11,topp_1___12,topp_1___98,addons_1___1,addons_1___2,addons_1___97,bev_1,arm_1_complete,arm_2_timestamp,block_order_2,shirt_style_2,q_shirt_color_2,shirt_size_2,shirt_material_2,pen_color_2,pen_tip_2,pen_paper_2,protein_2,tortilla_2,topp_2___1,topp_2___2,topp_2___3,topp_2___4,topp_2___5,topp_2___6,topp_2___7,topp_2___8,topp_2___9,topp_2___10,topp_2___11,topp_2___12,topp_2___98,addons_2___1,addons_2___2,addons_2___97,bev_2,arm_2_complete,arm_3_timestamp,block_order_3,shirt_style,q_shirt_color,shirt_size,shirt_material,pen_color,pen_tip,pen_paper,protein_3,tortilla,topp___1,topp___2,topp___3,topp___4,topp___5,topp___6,topp___7,topp___8,topp___9,topp___10,topp___11,topp___12,topp___98,addons___1,addons___2,addons___97,bev,arm_3_complete,stanford_survey_2_timestamp,q_awareness,gender,dob,state,stanford_survey_2_complete,stanford_survey_3_timestamp,cty_al_v2_e22628,cty_ak_v2_929bd2,cty_az_v2_b780e3,cty_ark_v2_955bdf,cty_ca_v2_74012e,cty_col_v2_143aa2,cty_ct_v2_8af58b,cty_de_v2_77b4ae,cty_fla_v2_6e16f0,cty_ga_v2_6b4912,cty_hi_v2_3fe9cc,cty_id_v2_13a608,cty_ill_v2_09efc4,cty_ind_v2_932836,cty_iowa_v2_51d17f,cty_ks_v2_586289,cty_ky_v2_dd7186,cty_lou_v2_11a316,cty_me_v2_76342c,cty_md_v2_86408a,cty_ma_v2_2b0f6e,cty_mi_v2_c533af,cty_mn_v2_a6b8c9,cty_ms_v2_2eb3ea,cty_mo_v2_f7cf0f,cty_mt_v2_eece85,cty_nb_v2_1845de,cty_nv_v2_cbfd57,cty_nh_v2_7f5683,cty_nj_v2_d518e1,cty_nm_v2_2da9b4,cty_ny_v2_72a698,cty_nc_v2_60c0bd,cty_nd_v2_4e52e2,cty_oh_v2_e7c461,cty_ok_v2_eb98bf,cty_or_v2_1c1add,cty_pa_v2_73e5b9,cty_ri_v2_04dfa5,cty_sc_v2_f48d96,cty_sd_v2_8e86fa,cty_tn_v2_de9d03,cty_tx_v2_ef1618,cty_ut_v2_519d25,cty_vt_v2_74ef52,cty_va_v2_ab6104,cty_wa_v2_ee038c,cty_wv_v2_1d9ac9,cty_wi_v2_950d32,cty_wy_v2_ac720c,cty_gu_v2_d42386,cty_pr_v2_a67c59,cty_minor_v2_0217db,cty_vi_v2_941d0b,edu,eth___1,eth___2,eth___3,eth___4,eth___5,eth___6,eth___7,eth___8,eth___9,eth___99,polit,chip,ffq_clothes_freq,ffq_pen_freq,ffq_cow_freq,ffq_pig_freq,ffq_attn_freq,ffq_hen_freq,ffq_pb_freq,ffq_fish_freq,ffq_dairy_freq,ffq_eggs_freq,time_end3,stanford_survey_3_complete,stanford_survey_4_timestamp,protein_1_attn,protein_2_attn,protein_3_attn,opted_out_all,stanford_survey_4_complete
7,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,august_2024_arm_5,,"2025-01-24 14:17:26",q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1,2,6,4,4,3,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:18:31",3,2,2001,MD21,2,"2025-01-24 14:20:15",,,,,,,,,,,,,,,,,,,,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,0,0,0,0,0,0,0,3,0,1,1,2,2,7,2,1,1,4,1,"2025-01-24 17:18:33",2,"2025-01-24 14:20:27",1,,,,2
8,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,august_2024_arm_5,,"2025-01-24 14:22:47",q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1,2,2,6,2,3,3,1,3,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:24:17",3,1,2001,TX44,2,"2025-01-24 14:27:29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,,,,,,,,,,,,5,1,0,0,0,0,0,0,0,0,0,3,6,2,1,3,1,7,4,1,3,3,4,"2025-01-24 17:24:20",2,"2025-01-24 14:27:42",3,,,,2
9,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,august_2024_arm_5,,"2025-01-24 14:19:22",q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1,2,2,2,3,2,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:21:30",3,1,2001,CA05,2,"2025-01-24 14:24:54",,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,0,0,0,0,0,0,0,0,1,2,4,1,5,3,7,2,2,2,3,5,"2025-01-24 17:22:03",2,"2025-01-24 14:25:17",2,,,,2
10,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,august_2024_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:17:17",shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2,3,2,5,4,1,3,1,4,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:17:52",1,2,2000,CO06,2,"2025-01-24 14:19:10",,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,0,9,1,2,1,3,2,7,2,1,1,4,3,"2025-01-24 15:17:55",2,"2025-01-24 14:19:28",,4,,,2
11,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,august_2024_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:17:29",q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2,1,2,6,1,3,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:19:33",3,2,2001,CA05,2,"2025-01-24 14:21:12",,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,0,1,2,2,3,4,1,7,2,3,4,3,4,"2025-01-24 17:19:37",2,"2025-01-24 14:21:43",,1,,,2
12,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,august_2024_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:21:22",shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2,2,7,4,3,3,3,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:26:41",3,2,2004,WA48,2,"2025-01-24 14:39:02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233,,,,,,,,6,1,0,0,0,0,0,0,0,0,0,3,50,2,3,7,6,7,6,5,6,7,7,"2025-01-24 17:26:46",2,"2025-01-24 14:41:15",,5,,,2
13,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,august_2024_arm_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:19:34",shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev,2,3,6,1,3,2,1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,2,"2025-01-24 14:20:49",11,1,2000,NM32,2,"2025-01-24 14:23:03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,0,0,0,0,0,0,0,0,3,20,4,3,4,4,2,3,4,4,3,3,"2025-01-24 15:20:53",2,"2025-01-24 14:23:19",,,2,,2
14,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,august_2024_arm_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:20:21",shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev,2,1,5,3,3,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,12,2,"2025-01-24 14:21:49",1,2,1982,MI23,2,"2025-01-24 14:23:49",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,0,0,0,0,0,0,0,0,3,1,5,4,4,5,7,5,2,3,7,1,"2025-01-24 16:21:52",2,"2025-01-24 14:24:07",,,1,,2
15,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,august_2024_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:18:14",q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2,2,2,1,1,8,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:21:28",3,1,1964,LA19,2,"2025-01-24 14:23:40",,,,,,,,,,,,,,,,,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,0,0,0,0,0,0,0,0,2,12,7,7,7,7,7,7,7,7,7,7,"2025-01-24 17:21:37",2,"2025-01-24 14:24:02",,1,,,2
16,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,august_2024_arm_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:18:28",q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper,2,6,4,1,4,2,1,2,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,5,2,"2025-01-24 14:19:30",1,1,1989,MO26,2,"2025-01-24 14:20:45",,,,,,,,,,,,,,,,,,,,,,,,,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,2,7,2,1,1,3,3,"2025-01-24 16:19:35",2,"2025-01-24 14:21:04",,,2,,2
17,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,august_2024_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:18:45",q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2,2,2,6,1,3,1,1,7,2,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:19:43",1,99,1999,IL14,2,"2025-01-24 14:21:00",,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,0,1,0,0,0,0,0,0,1,2,3,2,1,1,7,1,1,1,4,2,"2025-01-24 16:19:52",2,"2025-01-24 14:21:14",,7,,,2
18,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,august_2024_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:20:02",shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2,2,2,6,4,3,3,1,3,2,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-01-24 14:21:25",13,2,1989,CA05,2,"2025-01-24 14:23:48",,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,3,1,7,5,1,1,4,6,"2025-01-24 14:21:28",2,"2025-01-24 14:24:14",,1,,,2
19,consent_august_202_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
